Sample	espK	espN	espV	Serotype
GCA_003018455.1_ASM301845v1	1	1	1	O26:H11
GCA_003018495.1_ASM301849v1	1	1	1	O107/O117:H8
GCA_003018535.1_ASM301853v1	1	1	1	O111:H8
GCA_003018555.1_ASM301855v1	1	1	0	O103:H11
GCA_003018575.1_ASM301857v1	1	1	0	O118/O151:H16
GCA_003018635.1_ASM301863v1	0	1	0	O5:H9
GCA_003018695.1_ASM301869v1	1	1	1	O121:H19
GCA_003018715.1_ASM301871v1	1	0	0	O26:H11
GCA_003018775.1_ASM301877v1	1	1	1	O121:H19
GCA_003018795.1_ASM301879v1	1	1	1	O26:H11
GCA_003018815.1_ASM301881v1	1	0	0	O80:H2
GCA_003018835.2_ASM301883v2	1	1	1	O26:H11
GCA_003018875.1_ASM301887v1	1	1	1	O111:H8
GCA_003018895.1_ASM301889v1	1	1	1	O26:H11
GCA_003018915.1_ASM301891v1	1	1	0	O45:H2
GCA_003018935.1_ASM301893v1	1	1	1	O121:H19
GCA_003018995.1_ASM301899v1	1	1	1	O145:-
GCA_003019015.1_ASM301901v1	1	1	1	O165:H25
GCA_003019055.1_ASM301905v1	1	1	1	O121:H19
GCA_003019075.1_ASM301907v1	1	1	1	O172:H25
GCA_003019155.1_ASM301915v1	0	1	1	O103:H25
GCA_003019175.1_ASM301917v1	1	1	1	O71:H11
GCA_003019215.1_ASM301921v1	1	1	1	O107/O117:H8
GCA_003019235.1_ASM301923v1	1	1	1	O145:-
GCA_003112145.1_ASM311214v1	1	1	1	O121:H19
GCA_003112165.1_ASM311216v1	1	1	0	O103:H11
GCA_003112185.1_ASM311218v1	1	1	1	O26:H11
GCA_003112225.1_ASM311222v1	1	1	1	O26:H11
GCA_003112245.1_ASM311224v1	1	1	1	O111:H8
GCA_003203755.1_ASM320375v1	1	1	1	O111:H8
GCA_003288275.1_ASM328827v1	1	1	1	O111:H8
GCA_003288295.1_ASM328829v1	1	1	1	O111:H8
GCA_003308955.1_ASM330895v1	0	0	1	O157:H7
GCA_003586065.1_EcRM9872	1	1	1	O145:-
GCA_003722195.1_ASM372219v1	1	1	1	O157:H7
GCA_003966425.1_ASM396642v1	1	1	1	O111:H8
GCA_003966445.1_ASM396644v1	1	1	1	O111:H8
GCA_003966465.1_ASM396646v1	1	1	1	O26:H11
GCA_003966795.1_ASM396679v1	1	1	1	O157:H7
GCA_004010575.1_ASM401057v1	1	1	1	O157:H7
GCA_004010595.1_ASM401059v1	1	1	1	O157:H7
GCA_004010615.1_ASM401061v1	1	1	1	O157:H7
GCA_004010635.1_ASM401063v1	1	1	1	O157:H7
GCA_004010655.1_ASM401065v1	1	1	1	O157:H7
GCA_004010675.1_ASM401067v1	1	1	1	O157:H7
GCA_004010695.1_ASM401069v1	1	1	1	O157:H7
GCA_004010715.1_ASM401071v1	1	1	1	O157:H7
GCA_004263675.3_ASM426367v3	1	1	1	O157:H7
GCA_004358365.1_ASM435836v1	1	1	1	O26:H11
GCA_004358385.1_ASM435838v1	1	0	0	O26:H11
GCA_004358405.1_ASM435840v1	1	1	0	O26:H11
GCA_005037715.2_ASM503771v2	1	1	1	O121:H19
GCA_005037725.2_ASM503772v2	1	1	0	O26:H11
GCA_005037735.2_ASM503773v2	1	1	1	O157:H7
GCA_005037795.2_ASM503779v2	0	1	1	O103:H2
GCA_005037805.2_ASM503780v2	1	1	1	O111:H8
GCA_005037815.2_ASM503781v2	1	1	1	O145:-
GCA_005037845.2_ASM503784v2	1	1	0	O45:H2
GCA_005221505.1_ASM522150v1	1	1	1	O157:H7
GCA_005221525.1_ASM522152v1	1	1	1	O157:H7
GCA_005221545.1_ASM522154v1	1	1	1	O157:H7
GCA_005221565.1_ASM522156v1	1	1	1	O157:H7
GCA_005221585.1_ASM522158v1	1	1	1	O157:H7
GCA_005221605.1_ASM522160v1	1	1	1	O157:H7
GCA_005221625.1_ASM522162v1	1	1	1	O157:H7
GCA_005221645.1_ASM522164v1	1	1	1	O157:H7
GCA_005221665.1_ASM522166v1	1	1	1	O157:H7
GCA_005221685.1_ASM522168v1	1	1	1	O157:H7
GCA_005221705.1_ASM522170v1	1	1	1	O157:H7
GCA_005221725.1_ASM522172v1	1	1	1	O157:H7
GCA_005221745.1_ASM522174v1	1	1	1	O157:H7
GCA_005221765.1_ASM522176v1	1	1	1	O157:H7
GCA_005221785.1_ASM522178v1	1	1	1	O157:H7
GCA_005221805.1_ASM522180v1	1	1	1	O157:H7
GCA_005221825.1_ASM522182v1	1	1	1	O157:H7
GCA_005221865.1_ASM522186v1	1	1	1	O157:H7
GCA_005221885.1_ASM522188v1	1	1	1	O157:H7
GCA_005221905.1_ASM522190v1	1	1	1	O157:H7
GCA_005221925.1_ASM522192v1	1	1	1	O157:H7
GCA_005221945.1_ASM522194v1	1	1	1	O157:H7
GCA_005221965.1_ASM522196v1	1	1	1	O157:H7
GCA_005221985.1_ASM522198v1	1	1	1	O157:H7
GCA_005222005.1_ASM522200v1	1	1	1	O157:H7
GCA_005222025.1_ASM522202v1	1	1	1	O157:H7
GCA_005222045.1_ASM522204v1	1	1	1	O157:H7
GCA_005222065.1_ASM522206v1	1	1	1	O157:H7
GCA_005222265.1_ASM522226v1	1	1	1	O157:H7
GCA_005222285.1_ASM522228v1	1	1	1	O157:H7
GCA_005222305.1_ASM522230v1	1	1	1	O157:H7
GCA_005222325.1_ASM522232v1	1	1	1	O157:H7
GCA_005222345.1_ASM522234v1	1	1	1	O157:H7
GCA_005222365.1_ASM522236v1	1	1	1	O157:H7
GCA_005222385.1_ASM522238v1	1	1	1	O157:H7
GCA_005222405.1_ASM522240v1	1	1	1	O157:H7
GCA_005222425.1_ASM522242v1	1	1	1	O157:H7
GCA_005222445.1_ASM522244v1	1	1	1	O157:H7
GCA_005885915.1_ASM588591v1	1	1	1	O157:H7
GCA_005885955.1_ASM588595v1	1	1	1	O157:H7
GCA_006874785.1_ASM687478v1	1	1	1	O157:H7
GCA_007990655.1_ASM799065v1	1	1	1	O111:H8
GCA_008086485.1_ASM808648v1	1	1	1	O157:H7
GCA_008086505.1_ASM808650v1	1	1	1	O157:H7
GCA_008086525.1_ASM808652v1	1	1	1	O157:H7
GCA_008087645.1_ASM808764v1	1	1	1	O157:H7
GCA_008462425.1_ASM846242v1	1	1	1	O157:H7
GCA_008634095.2_ASM863409v2	1	1	1	O145:-
GCA_008635785.2_ASM863578v2	1	1	1	O145:-
GCA_008727135.1_ASM872713v1	1	1	1	O157:H7
GCA_008727155.1_ASM872715v1	1	1	1	O157:H7
GCA_008727175.1_ASM872717v1	1	1	1	O157:H7
GCA_008727195.1_ASM872719v1	1	1	1	O157:H7
GCA_008761535.3_ASM876153v3	1	1	0	O45:H2
GCA_008802895.1_ASM880289v1	1	1	1	O157:H7
GCA_008925965.1_ASM892596v1	1	1	1	O157:H7
GCA_008926085.1_ASM892608v1	0	0	1	O157:H7
GCA_008926125.1_ASM892612v1	1	1	1	O157:H7
GCA_008926145.1_ASM892614v1	1	1	1	O157:H7
GCA_008926165.1_ASM892616v1	1	1	1	O157:H7
GCA_008926185.1_ASM892618v1	1	1	1	O157:H7
GCA_008926305.1_ASM892630v1	1	1	1	O157:H7
GCA_008931135.1_ASM893113v1	1	1	1	O157:H7
GCA_008931185.1_ASM893118v1	0	0	1	O157:H7
GCA_009002655.1_ASM900265v1	1	1	1	O145:-
GCA_009002845.1_ASM900284v1	1	1	1	O145:-
GCA_009003065.1_ASM900306v1	1	1	1	O145:-
GCA_009431955.1_ASM943195v1	1	1	1	O157:H7
GCA_009650035.1_ASM965003v1	1	0	0	O26:H11
GCA_009650175.1_ASM965017v1	0	0	1	O157:H7
GCA_009664305.1_ASM966430v1	1	1	1	O157:H7
GCA_009664455.1_ASM966445v1	1	1	1	O157:H7
GCA_009738455.1_ASM973845v1	1	1	1	O157:H7
GCA_009873355.1_ASM987335v1	1	1	1	O157:H7
GCA_009873415.1_ASM987341v1	1	1	1	O111:H8
GCA_009873435.1_ASM987343v1	1	1	1	O26:H11
GCA_009931235.1_ASM993123v1	1	1	1	O157:H7
GCA_010231855.1_ASM1023185v1	1	1	1	O157:H7
GCA_011811645.2_ASM1181164v2	1	1	1	O157:H7
GCA_011843745.2_ASM1184374v2	1	1	1	O157:H7
GCA_011849985.2_ASM1184998v2	1	1	1	O157:H7
GCA_011853505.2_ASM1185350v2	1	1	1	O157:H7
GCA_011853625.2_ASM1185362v2	1	1	1	O157:H7
GCA_012015305.2_ASM1201530v2	1	1	1	O157:H7
GCA_012060065.2_ASM1206006v2	1	1	1	O157:H7
GCA_012097945.2_ASM1209794v2	1	1	1	O157:H7
GCA_012098715.2_ASM1209871v2	1	1	1	O157:H7
GCA_012099675.2_ASM1209967v2	1	1	1	O157:H7
GCA_012100495.2_ASM1210049v2	1	1	1	O157:H7
GCA_012100875.2_ASM1210087v2	1	1	1	O157:H7
GCA_012101175.2_ASM1210117v2	1	1	1	O157:H7
GCA_012107915.2_ASM1210791v2	1	1	1	O157:H7
GCA_012108755.2_ASM1210875v2	1	1	1	O157:H7
GCA_012109035.2_ASM1210903v2	1	1	1	O157:H7
GCA_012152785.2_ASM1215278v2	1	1	1	O157:H7
GCA_012184185.2_ASM1218418v2	1	1	1	O157:H7
GCA_012186145.2_ASM1218614v2	1	1	1	O157:H7
GCA_012194265.2_ASM1219426v2	1	1	1	O157:H7
GCA_012211645.2_ASM1221164v2	1	1	1	O157:H7
GCA_012218465.2_ASM1221846v2	1	1	1	O157:H7
GCA_012218485.2_ASM1221848v2	1	1	1	O157:H7
GCA_012218565.2_ASM1221856v2	1	1	1	O157:H7
GCA_012218625.2_ASM1221862v2	1	1	1	O157:H7
GCA_012218685.2_ASM1221868v2	1	1	1	O157:H7
GCA_012219005.2_ASM1221900v2	1	1	1	O157:H7
GCA_012219025.2_ASM1221902v2	1	1	1	O157:H7
GCA_012219045.2_ASM1221904v2	1	1	1	O157:H7
GCA_012219065.2_ASM1221906v2	1	1	1	O157:H7
GCA_012219085.2_ASM1221908v2	1	1	1	O157:H7
GCA_012219425.2_ASM1221942v2	1	1	1	O157:H7
GCA_012219465.2_ASM1221946v2	1	1	1	O157:H7
GCA_012220125.2_ASM1222012v2	1	1	1	O157:H7
GCA_012220445.2_ASM1222044v2	1	1	1	O157:H7
GCA_012220465.2_ASM1222046v2	1	1	1	O157:H7
GCA_012221765.2_ASM1222176v2	1	1	1	O157:H7
GCA_012242025.2_ASM1224202v2	1	1	1	O157:H7
GCA_012391955.2_ASM1239195v2	1	1	1	O157:H7
GCA_012849755.1_ASM1284975v1	1	1	1	O121:H19
GCA_012915625.2_ASM1291562v2	1	1	1	O157:H7
GCA_013167135.1_ASM1316713v1	1	1	1	O157:H7
GCA_013167155.1_ASM1316715v1	1	1	1	O157:H7
GCA_013167175.1_ASM1316717v1	1	1	1	O157:H7
GCA_013167195.1_ASM1316719v1	1	1	1	O157:H7
GCA_013167235.1_ASM1316723v1	1	1	1	O157:H7
GCA_013167275.1_ASM1316727v1	1	1	1	O157:H7
GCA_013167295.1_ASM1316729v1	1	1	1	O157:H7
GCA_013167315.1_ASM1316731v1	1	1	1	O157:H7
GCA_013167335.1_ASM1316733v1	1	1	1	O157:H7
GCA_013167355.1_ASM1316735v1	1	1	1	O157:H7
GCA_013167375.1_ASM1316737v1	1	1	1	O157:H7
GCA_013167395.1_ASM1316739v1	1	1	1	O157:H7
GCA_013167415.1_ASM1316741v1	1	1	1	O157:H7
GCA_013167435.1_ASM1316743v1	1	1	1	O157:H7
GCA_013167455.1_ASM1316745v1	1	1	1	O157:H7
GCA_013167475.1_ASM1316747v1	1	1	1	O157:H7
GCA_013167515.1_ASM1316751v1	1	1	1	O157:H7
GCA_013167535.1_ASM1316753v1	1	1	1	O157:H7
GCA_013167555.1_ASM1316755v1	1	1	1	O157:H7
GCA_013167575.1_ASM1316757v1	1	1	1	O157:H7
GCA_013167595.1_ASM1316759v1	1	1	1	O157:H7
GCA_013167615.1_ASM1316761v1	1	1	1	O157:H7
GCA_013167635.1_ASM1316763v1	1	1	1	O157:H7
GCA_013167655.1_ASM1316765v1	1	1	1	O157:H7
GCA_013167675.1_ASM1316767v1	1	1	1	O157:H7
GCA_013167695.1_ASM1316769v1	1	1	1	O157:H7
GCA_013167715.1_ASM1316771v1	1	1	1	O157:H7
GCA_013167735.1_ASM1316773v1	1	1	1	O157:H7
GCA_013167755.1_ASM1316775v1	1	1	1	O157:H7
GCA_013167775.1_ASM1316777v1	1	1	1	O157:H7
GCA_013167795.1_ASM1316779v1	1	1	1	O157:H7
GCA_013167815.1_ASM1316781v1	1	1	1	O157:H7
GCA_013167875.1_ASM1316787v1	1	1	1	O157:H7
GCA_013168035.1_ASM1316803v1	1	1	1	O157:H7
GCA_013168055.1_ASM1316805v1	1	1	1	O157:H7
GCA_013168075.1_ASM1316807v1	1	1	1	O157:H7
GCA_013168095.1_ASM1316809v1	1	1	1	O157:H7
GCA_013168115.1_ASM1316811v1	1	1	1	O157:H7
GCA_013168135.1_ASM1316813v1	1	1	1	O157:H7
GCA_013168155.1_ASM1316815v1	1	1	1	O157:H7
GCA_013168175.1_ASM1316817v1	1	1	1	O157:H7
GCA_013168195.1_ASM1316819v1	1	1	1	O157:H7
GCA_013168215.1_ASM1316821v1	1	1	1	O157:H7
GCA_013168235.1_ASM1316823v1	1	1	1	O157:H7
GCA_013168255.1_ASM1316825v1	1	1	1	O157:H7
GCA_013343595.1_ASM1334359v1	1	1	1	O157:H7
GCA_013343615.1_ASM1334361v1	1	1	1	O55:H7
GCA_013343635.1_ASM1334363v1	1	1	1	O157:H7
GCA_013357365.1_ASM1335736v1	0	1	1	O103:H2
GCA_014058445.2_ASM1405844v2	1	1	0	O26:H11
GCA_014607515.1_ASM1460751v1	1	1	1	O145:-
GCA_014607535.1_ASM1460753v1	1	0	1	O145:-
GCA_014607555.1_ASM1460755v1	1	1	1	O145:-
GCA_014607575.1_ASM1460757v1	1	1	1	O145:-
GCA_014622965.1_ASM1462296v1	1	1	1	O145:-
GCA_014622985.1_ASM1462298v1	1	1	1	O145:-
GCA_014623185.1_ASM1462318v1	1	1	1	O145:-
GCA_014623205.1_ASM1462320v1	1	1	1	O145:-
GCA_014623225.1_ASM1462322v1	1	1	1	O145:-
GCA_014623245.1_ASM1462324v1	1	1	1	O145:-
GCA_014623405.1_ASM1462340v1	1	1	1	O145:-
GCA_014623425.1_ASM1462342v1	1	1	1	O145:-
GCA_014825845.1_ASM1482584v1	1	1	1	O157:H7
GCA_015353135.1_ASM1535313v1	1	1	1	O157:H7
GCA_016458885.1_ASM1645888v1	1	1	1	O157:H7
GCA_016458905.1_ASM1645890v1	1	1	1	O157:H7
GCA_016458925.1_ASM1645892v1	1	1	1	O157:H7
GCA_016458945.1_ASM1645894v1	1	1	1	O157:H7
GCA_016834635.1_ASM1683463v1	1	1	1	O157:H7
GCA_016834675.1_ASM1683467v1	1	1	1	O157:H7
GCA_016834695.1_ASM1683469v1	1	1	1	O157:H7
GCA_016834715.1_ASM1683471v1	1	1	1	O157:H7
GCA_016834735.1_ASM1683473v1	1	1	1	O157:H7
GCA_016834755.1_ASM1683475v1	1	1	1	O157:H7
GCA_016834775.1_ASM1683477v1	1	1	1	O157:H7
GCA_016834795.1_ASM1683479v1	1	1	1	O157:H7
GCA_016834815.1_ASM1683481v1	1	1	1	O157:H7
GCA_016834835.1_ASM1683483v1	1	1	1	O157:H7
GCA_016834855.1_ASM1683485v1	1	1	1	O157:H7
GCA_016834875.1_ASM1683487v1	1	1	1	O157:H7
GCA_016834915.1_ASM1683491v1	1	1	1	O157:H7
GCA_016834955.1_ASM1683495v1	1	1	1	O157:H7
GCA_016834975.1_ASM1683497v1	1	1	1	O157:H7
GCA_016834995.1_ASM1683499v1	1	1	1	O157:H7
GCA_016835015.1_ASM1683501v1	1	1	1	O157:H7
GCA_016835035.1_ASM1683503v1	1	1	1	O157:H7
GCA_016835055.1_ASM1683505v1	1	1	1	O157:H7
GCA_016835075.1_ASM1683507v1	1	1	1	O157:H7
GCA_016835095.1_ASM1683509v1	1	1	1	O157:H7
GCA_017164755.1_ASM1716475v1	1	1	1	O157:H7
GCA_017164775.1_ASM1716477v1	1	1	1	O157:H7
GCA_017164795.1_ASM1716479v1	1	1	1	O157:H7
GCA_017164815.1_ASM1716481v1	1	1	1	O157:H7
GCA_017164835.1_ASM1716483v1	1	1	1	O157:H7
GCA_017164855.1_ASM1716485v1	1	1	1	O157:H7
GCA_017164875.1_ASM1716487v1	1	1	1	O157:H7
GCA_017164895.1_ASM1716489v1	1	1	1	O157:H7
GCA_017164915.1_ASM1716491v1	1	1	1	O157:H7
GCA_017164935.1_ASM1716493v1	1	1	1	O157:H7
GCA_017164955.1_ASM1716495v1	1	1	1	O157:H7
GCA_017164975.1_ASM1716497v1	1	1	1	O157:H7
GCA_017164995.1_ASM1716499v1	1	1	1	O157:H7
GCA_017165015.1_ASM1716501v1	1	1	1	O157:H7
GCA_017165035.1_ASM1716503v1	1	1	1	O157:H7
GCA_017165055.1_ASM1716505v1	1	1	1	O157:H7
GCA_017165075.1_ASM1716507v1	1	1	1	O157:H7
GCA_017165095.1_ASM1716509v1	1	1	1	O157:H7
GCA_017165115.1_ASM1716511v1	1	1	1	O157:H7
GCA_017165135.1_ASM1716513v1	1	1	1	O157:H7
GCA_017165155.1_ASM1716515v1	1	1	1	O157:H7
GCA_017165215.1_ASM1716521v1	1	1	1	O157:H7
GCA_017165235.1_ASM1716523v1	1	1	1	O157:H7
GCA_017165255.1_ASM1716525v1	1	1	1	O157:H7
GCA_017165275.1_ASM1716527v1	1	1	1	O157:H7
GCA_017165295.1_ASM1716529v1	1	1	1	O157:H7
GCA_017165315.1_ASM1716531v1	1	1	1	O157:H7
GCA_017165335.1_ASM1716533v1	1	1	1	O157:H7
GCA_017165355.1_ASM1716535v1	1	1	1	O157:H7
GCA_017165375.1_ASM1716537v1	1	1	1	O157:H7
GCA_017165395.1_ASM1716539v1	1	1	1	O157:H7
GCA_017165415.1_ASM1716541v1	1	1	1	O157:H7
GCA_017165435.1_ASM1716543v1	1	1	1	O157:H7
GCA_017165455.1_ASM1716545v1	1	1	1	O157:H7
GCA_017357545.1_ASM1735754v1	1	1	1	O157:H7
GCA_019974455.1_ASM1997445v1	1	1	1	O121:H19
GCA_019974475.1_ASM1997447v1	1	0	1	O121:H19
GCA_019974495.1_ASM1997449v1	1	0	0	O121:H19
GCA_019974515.1_ASM1997451v1	0	1	1	O121:H19
GCA_020423145.1_ASM2042314v1	1	1	1	O157:H7
GCA_020423165.1_ASM2042316v1	1	1	1	O157:H7
GCA_020423185.1_ASM2042318v1	1	1	1	O157:H7
GCA_020423205.1_ASM2042320v1	1	1	1	O157:H7
GCA_020423225.1_ASM2042322v1	1	1	1	O157:H7
GCA_021049165.1_ASM2104916v1	1	1	1	O157:H7
GCA_021166015.1_ASM2116601v1	1	1	1	O157:H7
GCA_021166395.1_ASM2116639v1	1	1	1	O157:H7
GCA_021166415.1_ASM2116641v1	1	1	1	O157:H7
GCA_021166435.1_ASM2116643v1	1	1	1	O157:H7
GCA_021184105.1_ASM2118410v1	1	1	1	O157:H7
GCA_021184125.1_ASM2118412v1	1	1	1	O157:H7
GCA_021461475.1_ASM2146147v1	1	1	0	O26:H11
GCA_021461615.1_ASM2146161v1	1	1	0	O26:H11
GCA_021461635.1_ASM2146163v1	1	1	1	O26:H11
GCA_021462025.1_ASM2146202v1	0	1	0	O5:H9
GCA_022869945.1_ASM2286994v1	1	1	1	O157:H7
GCA_023921205.1_ASM2392120v1	0	1	1	O118/O151:H2
GCA_024300685.1_ASM2430068v1	1	1	1	O26:H11
GCA_024300705.1_ASM2430070v1	1	1	0	O45:H2
GCA_024300725.1_ASM2430072v1	1	1	0	O103:H11
GCA_024300745.1_ASM2430074v1	1	1	1	O111:H8
GCA_024300765.1_ASM2430076v1	1	1	1	O121:H19
GCA_024300785.1_ASM2430078v1	1	1	1	O145:-
GCA_025252345.1_ASM2525234v1	1	1	1	O157:H7
GCA_025252445.1_ASM2525244v1	1	1	1	O157:H7
GCA_025399035.1_ASM2539903v1	1	1	1	O157:H7
GCA_025399095.1_ASM2539909v1	1	1	1	O157:H7
GCA_025399115.1_ASM2539911v1	1	1	1	O157:H7
GCA_025399135.1_ASM2539913v1	1	1	1	O157:H7
GCA_025809255.1_ASM2580925v1	1	1	1	O157:H7
GCA_025995195.1_ASM2599519v1	1	1	1	O157:H7
GCA_025995255.1_ASM2599525v1	1	1	1	O157:H7
GCA_025995315.1_ASM2599531v1	1	1	1	O157:H7
GCA_025995355.1_ASM2599535v1	0	0	1	O157:H7
GCA_025995415.1_ASM2599541v1	1	1	1	O157:H7
GCA_025995475.1_ASM2599547v1	0	0	1	O157:H7
GCA_025995535.1_ASM2599553v1	0	0	1	O157:H7
GCA_025995615.1_ASM2599561v1	0	0	1	O157:H7
GCA_025995675.1_ASM2599567v1	1	1	1	O157:H7
GCA_025995735.1_ASM2599573v1	1	1	1	O157:H7
GCA_025995895.1_ASM2599589v1	0	0	1	O157:H7
GCA_025996075.1_ASM2599607v1	0	0	1	O157:H7
GCA_025996315.1_ASM2599631v1	1	1	1	O157:H7
GCA_025996495.1_ASM2599649v1	0	0	1	O157:H7
GCA_025996555.1_ASM2599655v1	1	1	1	O157:H7
GCA_025996615.1_ASM2599661v1	0	0	1	O157:H7
GCA_025996675.1_ASM2599667v1	0	0	1	-:H7
GCA_025996735.1_ASM2599673v1	0	0	1	O157:H7
GCA_026001345.1_ASM2600134v1	1	1	1	O165:H25
GCA_026001405.1_ASM2600140v1	1	1	1	O165:H25
GCA_026001465.1_ASM2600146v1	1	1	1	O165:H25
GCA_026001525.1_ASM2600152v1	1	1	1	O165:H25
GCA_026001605.1_ASM2600160v1	1	1	1	O165:H25
GCA_026001685.1_ASM2600168v1	1	1	1	O165:H25
GCA_026001745.1_ASM2600174v1	1	1	1	O165:H25
GCA_026967655.1_ASM2696765v1	1	1	1	O157:H7
GCA_027925505.1_ASM2792550v1	1	1	0	O26:H11
GCA_027925565.1_ASM2792556v1	1	1	0	O26:H11
GCA_027925685.1_ASM2792568v1	1	1	1	O26:H11
GCA_027925745.1_ASM2792574v1	1	1	1	O26:H11
GCA_027925765.1_ASM2792576v1	1	1	1	O26:H11
GCA_027925785.1_ASM2792578v1	1	1	1	O26:H11
GCA_027925805.1_ASM2792580v1	1	1	1	O26:H11
GCA_027925825.1_ASM2792582v1	1	1	1	O26:H11
GCA_027925845.1_ASM2792584v1	1	1	1	O26:H11
GCA_029590495.1_ASM2959049v1	1	1	1	O157:H7
GCA_029962285.1_ASM2996228v1	1	1	1	O157:H7
GCA_030297395.1_ASM3029739v1	0	1	1	O76:H7
GCA_030733925.1_ASM3073392v1	1	1	1	O157:H7
GCA_030734165.1_ASM3073416v1	1	1	1	O157:H7
GCA_030908645.1_ASM3090864v1	1	1	1	-:-
GCA_030908665.1_ASM3090866v1	1	1	1	O157:H7
GCA_030908685.1_ASM3090868v1	1	1	1	O157:H7
GCA_030908705.1_ASM3090870v1	1	1	1	O157:H7
